ZipCode,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,PerCapitaIncome,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree,loc_name,product_name,price_current,Midgrade,Premium,Regular
91748,45205,6255,572,505,27834,12946,195,7797,2047,32256.0,42.0,40.9,43.1,2777,2401,8802,6438,2988,10153,Shell,Regular,5.85,5.705,5.805,5.505
91759,367,301,11,4,0,58,0,0,51,47245.0,52.5,46.2,60.6,0,12,23,81,39,68,Wrightwood Market,Regular,5.49,5.891666666666667,5.993333333333333,5.716666666666666
92602,27425,10250,88,0,12146,5592,77,855,4009,51047.0,34.8,35.0,34.5,376,46,1468,3737,1529,5973,Chevron,Regular,5.99,5.633154362416108,5.801390728476821,5.766225165562914
92603,19128,10437,108,72,7195,1843,0,12,1304,79517.0,40.4,41.5,39.7,97,248,918,1857,776,6229,Shell,Regular,5.89,5.028791208791209,5.277717391304348,5.196413043478261
92604,29983,15608,415,113,10726,3660,193,1041,1887,48276.0,41.6,38.7,44.1,513,577,2657,4500,1226,8390,Chevron,Regular,5.97,6.1325,6.2475000000000005,5.935
92606,25126,9271,476,7,11695,2169,109,476,3092,53694.0,34.0,33.7,35.2,351,536,2138,3238,1254,7267,76,Regular,5.74,3.596,3.6659999999999995,3.446
92610,12524,6874,51,55,4100,1472,42,173,1229,59787.0,39.6,39.4,39.9,34,301,1225,1532,783,3713,Mobil,Regular,5.61,5.759600000000001,6.1536,5.8488
92612,34640,17862,1000,35,12298,4075,52,1330,2063,47327.0,30.1,29.5,30.7,325,510,4065,7631,2186,10178,ARCO,Regular,5.53,5.883,6.005000000000001,5.683
92614,29307,14527,868,109,9234,3263,167,763,3639,53661.0,33.1,32.4,34.0,1142,725,1728,3582,1874,8138,Chevron,Regular,5.99,3.5060000000000002,4.696,5.514
92617,17960,7922,1086,35,5503,4100,55,844,2515,26134.0,20.8,21.7,20.5,23,171,4098,5828,503,1805,7-Eleven,Regular,5.64,5.117142857142857,5.225714285714285,4.942857142857143
92624,6398,5214,41,16,112,1666,18,634,363,62308.0,49.6,49.0,51.1,55,375,737,1534,489,1517,76,Regular,0.0,3.7512499999999998,3.9476470588235295,4.091176470588235
92625,13102,10861,157,28,977,1068,0,184,895,117652.0,54.2,53.6,54.5,145,159,1145,1352,408,4384,76,Regular,5.69,5.387272727272727,5.485833333333333,4.73
92626,50389,31318,993,379,7290,14410,523,5344,4542,48796.0,36.4,36.0,37.0,1809,1896,6862,10234,3337,12346,Shell,Regular,5.79,5.829444444444444,5.934736842105264,5.613684210526316
92647,60592,36106,1075,291,8613,17399,321,8507,5679,41925.0,36.7,35.8,38.0,2150,2454,10206,12476,4378,11139,ARCO,Regular,5.59,4.4255555555555555,4.492222222222222,4.924444444444444
92655,8440,2506,92,48,3931,2945,0,1577,286,24228.0,41.4,40.3,45.0,943,1030,1605,1173,393,942,Shell,Regular,5.49,4.9471428571428575,5.047142857142857,5.199285714285715
