RecordID,ZipCode,City,County,State,Latitude,Longitude,DominantAreaCode,ResidentialDeliveries,ResidentialPOBoxes,BusinessDeliveries,BusinessPOBoxes,LastLineIndicator,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,MedianHouseholdIncome,PerCapitaIncome,MedianHomeValue,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree
617,92705,NORTH TUSTIN,ORANGE,CA,33.7555,-117.8241,714,16309,0,4472,0,,47851,26345,856,162,4773,22638,17,10905,4793,119260,50467,1464000,37.9,35.6,39.5,2034,2213,7099,7397,2228,9110
618,92705,SANTA ANA,ORANGE,CA,33.7555,-117.8241,714,16309,0,4472,0,L,47851,26345,856,162,4773,22638,17,10905,4793,119260,50467,1464000,37.9,35.6,39.5,2034,2213,7099,7397,2228,9110
619,92706,KING,ORANGE,CA,33.7648,-117.8806,714,9875,293,666,74,,36694,12723,597,216,3379,25723,48,14810,4921,80990,30915,930000,36.0,34.0,37.4,4622,3383,6222,6415,1429,4150
620,92706,SANTA ANA,ORANGE,CA,33.7648,-117.8806,714,9875,293,666,74,L,36694,12723,597,216,3379,25723,48,14810,4921,80990,30915,930000,36.0,34.0,37.4,4622,3383,6222,6415,1429,4150
621,92707,COSTA MESA,ORANGE,CA,33.7112,-117.8703,714,13673,213,1363,58,,60478,21084,344,698,4204,50794,183,29037,4928,89455,25557,743000,32.3,32.0,32.6,8776,6774,11788,9671,2544,5231
622,92707,SANTA ANA,ORANGE,CA,33.7112,-117.8703,714,13673,213,1363,58,L,60478,21084,344,698,4204,50794,183,29037,4928,89455,25557,743000,32.3,32.0,32.6,8776,6774,11788,9671,2544,5231
623,92707,SOUTH MAIN,ORANGE,CA,33.7112,-117.8703,714,13673,213,1363,58,,60478,21084,344,698,4204,50794,183,29037,4928,89455,25557,743000,32.3,32.0,32.6,8776,6774,11788,9671,2544,5231
624,92708,FOUNTAIN VALLEY,ORANGE,CA,33.7104,-117.9513,714,19389,0,2210,0,L,57139,26664,431,188,21290,9564,425,2988,5153,92765,41359,1192000,43.9,42.1,45.1,2014,2398,8535,10594,4064,12744
625,92708,SANTA ANA,ORANGE,CA,33.7104,-117.9513,714,19389,0,2210,0,,57139,26664,431,188,21290,9564,425,2988,5153,92765,41359,1192000,43.9,42.1,45.1,2014,2398,8535,10594,4064,12744
626,92780,TUSTIN,ORANGE,CA,33.7380,-117.8211,714,18698,0,3248,0,L,54840,27307,1801,303,7174,28182,211,12557,5487,83662,34859,996000,34.5,33.2,35.7,3422,2972,9580,9773,2539,8573
627,92782,TUSTIN,ORANGE,CA,33.7341,-117.7926,714,11492,0,311,0,L,30123,12784,510,152,12718,5317,0,1547,2412,123909,62607,1179000,39.0,38.3,40.0,481,545,1779,3979,1807,7647
628,92801,ANAHEIM,ORANGE,CA,33.8423,-117.9530,714,18983,0,2257,0,L,65662,29843,2891,603,11949,38782,78,13021,7277,71309,24877,769000,34.3,33.2,36.0,6683,5594,13440,12370,2501,7295
629,92802,ANAHEIM,ORANGE,CA,33.8062,-117.9234,714,12129,0,784,0,L,42911,22903,1016,191,5532,29225,128,6924,6217,70622,24988,835000,33.2,33.2,33.2,4547,4595,8079,6883,2450,3973
630,92802,HOLIDAY,ORANGE,CA,33.8062,-117.9234,714,12129,0,784,0,,42911,22903,1016,191,5532,29225,128,6924,6217,70622,24988,835000,33.2,33.2,33.2,4547,4595,8079,6883,2450,3973
631,92804,ANAHEIM,ORANGE,CA,33.8190,-117.9789,714,25615,0,1168,0,L,86503,42753,2907,733,21915,40760,1068,8563,8564,70649,26838,817000,35.9,35.4,36.1,6633,6837,18723,15790,4741,11182
632,92804,BROOKHURST CENTER,ORANGE,CA,33.8190,-117.9789,714,25615,0,1168,0,,86503,42753,2907,733,21915,40760,1068,8563,8564,70649,26838,817000,35.9,35.4,36.1,6633,6837,18723,15790,4741,11182
633,92805,ANAHEIM,ORANGE,CA,33.8328,-117.9080,714,23561,0,1554,0,L,73736,39526,1046,745,9057,53316,56,12680,10626,74002,26562,783000,32.4,33.5,31.4,8683,5806,13293,11859,3693,8395
634,92805,FEDERAL,ORANGE,CA,33.8328,-117.9080,714,23561,0,1554,0,,73736,39526,1046,745,9057,53316,56,12680,10626,74002,26562,783000,32.4,33.5,31.4,8683,5806,13293,11859,3693,8395
635,92806,ANAHEIM,ORANGE,CA,33.8368,-117.8748,714,13794,0,2988,0,L,40009,19778,970,531,5252,23293,318,6462,6698,83330,35295,888000,35.2,33.5,36.0,3187,2732,7988,6838,2184,5444
636,92806,SUNKIST,ORANGE,CA,33.8368,-117.8748,714,13794,0,2988,0,,40009,19778,970,531,5252,23293,318,6462,6698,83330,35295,888000,35.2,33.5,36.0,3187,2732,7988,6838,2184,5444
637,92807,ANAHEIM,ORANGE,CA,33.8524,-117.7957,714,13149,0,1645,0,L,36110,25139,546,105,5355,9137,7,1515,3443,126354,52654,1030000,42.8,41.5,43.9,821,1192,5364,6672,3265,7068
638,92807,ANAHEIM HILLS,ORANGE,CA,33.8524,-117.7957,714,13149,0,1645,0,,36110,25139,546,105,5355,9137,7,1515,3443,126354,52654,1030000,42.8,41.5,43.9,821,1192,5364,6672,3265,7068
639,92808,ANAHEIM,ORANGE,CA,33.8583,-117.7423,714,7563,0,282,0,L,21496,12934,489,4,5162,3126,21,677,2209,137009,62115,1131000,44.1,41.3,46.0,340,321,2022,3209,1942,5513
640,92808,ANAHEIM HILLS,ORANGE,CA,33.8583,-117.7423,714,7563,0,282,0,,21496,12934,489,4,5162,3126,21,677,2209,137009,62115,1131000,44.1,41.3,46.0,340,321,2022,3209,1942,5513
641,92821,BREA,ORANGE,CA,33.9224,-117.8932,714,15635,0,2561,0,L,41286,24028,570,199,9252,13073,100,2461,4676,105330,47159,988000,40.7,39.9,41.2,927,1331,5434,7722,2455,9153
642,92823,BREA,ORANGE,CA,33.9201,-117.8346,714,2165,0,54,0,L,5626,2132,0,0,2723,907,0,249,522,143971,53715,1176000,38.2,37.7,39.2,80,104,480,655,416,1519
643,92831,FULLERTON,ORANGE,CA,33.8798,-117.8914,714,13533,0,1593,0,L,36859,21409,942,159,6520,14456,22,3312,4495,79461,38584,940000,29.8,29.2,30.9,1270,1160,5343,8624,2417,7084
644,92832,FULLERTON,ORANGE,CA,33.8673,-117.9283,714,9426,0,1160,0,L,25720,12766,735,124,2951,13978,142,5407,3595,79593,31286,771000,33.7,33.7,33.7,1365,1376,3834,5404,1420,4059
645,92833,FULLERTON,ORANGE,CA,33.8737,-117.9630,714,16558,0,1005,0,L,53188,21919,1233,360,18819,20723,187,5802,4868,98176,41313,878000,37.5,35.9,38.8,2189,2321,8462,8361,3457,10321
646,92835,FULLERTON,ORANGE,CA,33.9011,-117.9135,714,9324,0,624,0,L,26917,17044,368,29,6112,5453,0,1548,1816,132228,58860,1115000,41.6,41.2,41.7,481,519,2502,4160,1711,6352
647,92840,GARDEN GROVE,ORANGE,CA,33.7854,-117.9318,714,15391,0,863,0,L,53681,22747,603,169,19343,23239,128,6565,4126,80471,28886,882000,37.2,36.1,39.2,5733,3450,10252,9663,3250,7317
648,92841,GARDEN GROVE,ORANGE,CA,33.7859,-117.9783,714,9630,0,1187,0,L,34650,10249,312,274,17063,10618,282,4804,1666,68875,26843,865000,39.7,39.3,40.0,3241,2532,7596,5925,2221,4468
649,92843,GARDEN GROVE,ORANGE,CA,33.7645,-117.9324,714,11556,0,1724,0,L,48413,13486,200,497,21575,22434,13,8464,4178,74940,23830,828000,37.5,37.2,37.7,5346,5142,10149,8221,2285,4842
650,92844,GARDEN GROVE,ORANGE,CA,33.7671,-117.9710,714,7186,0,755,0,L,22601,4320,486,84,13320,5158,18,2947,1426,64536,26740,771000,42.1,42.4,41.7,2449,2389,4298,4170,1469,2857
651,92845,GARDEN GROVE,ORANGE,CA,33.7834,-118.0274,714,5718,0,298,0,L,15240,11339,113,76,2117,2741,38,593,964,116333,46489,934000,43.9,39.7,49.2,295,722,2545,3272,1001,3049
652,92861,ORANGE,ORANGE,CA,33.8172,-117.8111,714,2010,0,57,0,,5864,4479,24,0,843,931,0,116,402,172375,87948,2017000,50.9,48.2,53.1,98,101,592,944,513,1485
653,92861,VILLA PARK,ORANGE,CA,33.8172,-117.8111,714,2010,0,57,0,L,5864,4479,24,0,843,931,0,116,402,172375,87948,2017000,50.9,48.2,53.1,98,101,592,944,513,1485
654,92865,ORANGE,ORANGE,CA,33.8290,-117.8463,714,6822,0,1198,0,L,21384,12816,327,320,3278,8493,41,2150,2452,118212,43868,923000,36.3,36.1,36.4,728,1022,3364,3972,1271,4624
655,92866,ORANGE,ORANGE,CA,33.7845,-117.8460,714,5934,0,608,0,L,14966,10829,77,254,851,5077,71,1357,1527,78365,43783,1072000,35.0,36.6,32.4,399,1022,2795,3511,1008,2732
656,92867,ORANGE,ORANGE,CA,33.8107,-117.8312,714,13937,0,2315,0,L,44232,28504,416,386,5086,17165,208,4554,5078,108547,44519,1068000,35.6,34.8,36.6,1947,1954,7291,9788,2048,7716
657,92867,VILLA PARK,ORANGE,CA,33.8107,-117.8312,714,13937,0,2315,0,,44232,28504,416,386,5086,17165,208,4554,5078,108547,44519,1068000,35.6,34.8,36.6,1947,1954,7291,9788,2048,7716
658,92868,ORANGE,ORANGE,CA,33.7864,-117.8763,714,9862,0,1986,0,L,27233,15269,907,163,4043,13732,176,4200,2475,79722,30641,807000,33.1,33.1,33.1,1597,2084,4855,5382,1668,4919
659,92869,ORANGE,ORANGE,CA,33.7920,-117.7993,714,12079,0,435,0,L,36174,21999,398,79,5058,13299,20,5025,3595,126864,53066,1132000,40.9,39.2,42.0,1648,1412,4673,6954,2150,7395
660,92870,PLACENTIA,ORANGE,CA,33.8782,-117.8547,714,17603,0,1316,0,L,53126,32017,1367,527,8859,20484,132,3522,6702,103233,40591,976000,37.1,36.3,37.7,2189,2084,7943,9823,3275,9759
661,92886,YORBA LINDA,ORANGE,CA,33.8899,-117.8065,714,17474,0,690,0,L,50764,32928,513,179,10882,9680,101,1558,4603,132888,57146,1242000,43.1,43.1,43.1,606,1237,5171,9344,3378,11511
662,92887,YORBA LINDA,ORANGE,CA,33.8806,-117.7416,714,7184,0,502,0,L,20395,13636,310,6,4351,3431,34,519,1539,143723,66613,1325000,46.5,46.2,46.8,149,698,2271,3188,1229,5571
663,93510,ACTON,LOS ANGELES,CA,34.4863,-118.1974,661,2455,507,126,144,L,7010,5678,72,39,174,2008,0,676,371,113056,47358,831000,46.5,48.9,44.4,38,380,1551,1886,523,1119
664,93532,ELIZABETH LAKE,LOS ANGELES,CA,34.6739,-118.4322,661,642,509,8,47,,2745,2077,93,80,88,651,35,295,77,80357,33528,414000,35.7,35.4,37.2,154,99,650,699,170,246
665,93532,LAKE ELIZABETH,LOS ANGELES,CA,34.6739,-118.4322,661,642,509,8,47,,2745,2077,93,80,88,651,35,295,77,80357,33528,414000,35.7,35.4,37.2,154,99,650,699,170,246
666,93532,LAKE HUGHES,LOS ANGELES,CA,34.6739,-118.4322,661,642,509,8,47,L,2745,2077,93,80,88,651,35,295,77,80357,33528,414000,35.7,35.4,37.2,154,99,650,699,170,246
667,93532,LEONA VALLEY,LOS ANGELES,CA,34.6739,-118.4322,661,642,509,8,47,,2745,2077,93,80,88,651,35,295,77,80357,33528,414000,35.7,35.4,37.2,154,99,650,699,170,246
668,93532,SANDBERG,LOS ANGELES,CA,34.6739,-118.4322,661,642,509,8,47,,2745,2077,93,80,88,651,35,295,77,80357,33528,414000,35.7,35.4,37.2,154,99,650,699,170,246
669,93532,THREE POINTS,LOS ANGELES,CA,34.6739,-118.4322,661,642,509,8,47,,2745,2077,93,80,88,651,35,295,77,80357,33528,414000,35.7,35.4,37.2,154,99,650,699,170,246
670,93534,DEL SUR,LOS ANGELES,CA,34.6874,-118.1498,661,15568,0,2159,0,,43535,19324,11201,395,1210,18369,117,5924,5364,46875,21387,410000,33.2,30.6,35.3,2008,3803,9501,7641,2943,2955
671,93534,FAIRMONT,LOS ANGELES,CA,34.6874,-118.1498,661,15568,0,2159,0,,43535,19324,11201,395,1210,18369,117,5924,5364,46875,21387,410000,33.2,30.6,35.3,2008,3803,9501,7641,2943,2955
672,93534,HI VISTA,LOS ANGELES,CA,34.6874,-118.1498,661,15568,0,2159,0,,43535,19324,11201,395,1210,18369,117,5924,5364,46875,21387,410000,33.2,30.6,35.3,2008,3803,9501,7641,2943,2955
673,93534,LANCASTER,LOS ANGELES,CA,34.6874,-118.1498,661,15568,0,2159,0,L,43535,19324,11201,395,1210,18369,117,5924,5364,46875,21387,410000,33.2,30.6,35.3,2008,3803,9501,7641,2943,2955
674,93534,LANE,LOS ANGELES,CA,34.6874,-118.1498,661,15568,0,2159,0,,43535,19324,11201,395,1210,18369,117,5924,5364,46875,21387,410000,33.2,30.6,35.3,2008,3803,9501,7641,2943,2955
675,93534,WILSONA GARDENS,LOS ANGELES,CA,34.6874,-118.1498,661,15568,0,2159,0,,43535,19324,11201,395,1210,18369,117,5924,5364,46875,21387,410000,33.2,30.6,35.3,2008,3803,9501,7641,2943,2955
676,93535,HI VISTA,LOS ANGELES,CA,34.6881,-118.0618,661,23550,0,744,0,,79522,39099,16474,742,2043,42244,8,10530,10626,51560,19583,413000,31.1,29.5,33.0,5662,5623,19335,13039,4501,4501
677,93535,LAKE LOS ANGELES,LOS ANGELES,CA,34.6881,-118.0618,661,23550,0,744,0,,79522,39099,16474,742,2043,42244,8,10530,10626,51560,19583,413000,31.1,29.5,33.0,5662,5623,19335,13039,4501,4501
678,93535,LANCASTER,LOS ANGELES,CA,34.6881,-118.0618,661,23550,0,744,0,L,79522,39099,16474,742,2043,42244,8,10530,10626,51560,19583,413000,31.1,29.5,33.0,5662,5623,19335,13039,4501,4501
679,93535,ROOSEVELT CORNER,LOS ANGELES,CA,34.6881,-118.0618,661,23550,0,744,0,,79522,39099,16474,742,2043,42244,8,10530,10626,51560,19583,413000,31.1,29.5,33.0,5662,5623,19335,13039,4501,4501
680,93535,WILSONA GARDENS,LOS ANGELES,CA,34.6881,-118.0618,661,23550,0,744,0,,79522,39099,16474,742,2043,42244,8,10530,10626,51560,19583,413000,31.1,29.5,33.0,5662,5623,19335,13039,4501,4501
681,93536,DEL SUR,LOS ANGELES,CA,34.6867,-118.2375,661,24218,0,566,0,,73417,42444,9160,1134,4086,25851,86,6562,9945,89987,34227,523000,36.9,36.9,36.8,2734,4983,14878,15587,5413,7930
682,93536,FAIRMONT,LOS ANGELES,CA,34.6867,-118.2375,661,24218,0,566,0,,73417,42444,9160,1134,4086,25851,86,6562,9945,89987,34227,523000,36.9,36.9,36.8,2734,4983,14878,15587,5413,7930
683,93536,LANCASTER,LOS ANGELES,CA,34.6867,-118.2375,661,24218,0,566,0,L,73417,42444,9160,1134,4086,25851,86,6562,9945,89987,34227,523000,36.9,36.9,36.8,2734,4983,14878,15587,5413,7930
684,93536,METLER VALLEY,LOS ANGELES,CA,34.6867,-118.2375,661,24218,0,566,0,,73417,42444,9160,1134,4086,25851,86,6562,9945,89987,34227,523000,36.9,36.9,36.8,2734,4983,14878,15587,5413,7930
685,93536,NEENACH,LOS ANGELES,CA,34.6867,-118.2375,661,24218,0,566,0,,73417,42444,9160,1134,4086,25851,86,6562,9945,89987,34227,523000,36.9,36.9,36.8,2734,4983,14878,15587,5413,7930
686,93536,QUARTZ HILL,LOS ANGELES,CA,34.6867,-118.2375,661,24218,0,566,0,,73417,42444,9160,1134,4086,25851,86,6562,9945,89987,34227,523000,36.9,36.9,36.8,2734,4983,14878,15587,5413,7930
687,93543,JUNIPER HILLS,LOS ANGELES,CA,34.5293,-117.9632,661,3693,533,93,97,,13793,6008,352,142,142,10461,0,5100,2049,61936,19526,465000,34.7,34.8,34.5,1594,1298,3425,1966,713,523
688,93543,LITTLEROCK,LOS ANGELES,CA,34.5293,-117.9632,661,3693,533,93,97,L,13793,6008,352,142,142,10461,0,5100,2049,61936,19526,465000,34.7,34.8,34.5,1594,1298,3425,1966,713,523
689,93543,SUN VILLAGE,LOS ANGELES,CA,34.5293,-117.9632,661,3693,533,93,97,,13793,6008,352,142,142,10461,0,5100,2049,61936,19526,465000,34.7,34.8,34.5,1594,1298,3425,1966,713,523
690,93544,CRYSTALAIRE,LOS ANGELES,CA,34.4808,-117.8097,661,408,204,6,18,,1511,906,217,0,0,551,0,170,218,73409,24941,394000,48.1,48.1,49.1,13,115,378,534,138,54
691,93544,LLANO,LOS ANGELES,CA,34.4808,-117.8097,661,408,204,6,18,L,1511,906,217,0,0,551,0,170,218,73409,24941,394000,48.1,48.1,49.1,13,115,378,534,138,54
692,93550,LAKE LOS ANGELES,LOS ANGELES,CA,34.5690,-118.0959,661,23374,80,1525,16,,82580,27867,11488,1870,2451,56103,467,30618,7819,54693,19347,444000,30.2,28.4,31.7,7143,8935,18491,14004,4007,3397
693,93550,PALMDALE,LOS ANGELES,CA,34.5690,-118.0959,661,23374,80,1525,16,L,82580,27867,11488,1870,2451,56103,467,30618,7819,54693,19347,444000,30.2,28.4,31.7,7143,8935,18491,14004,4007,3397
694,93551,CITY RANCH,LOS ANGELES,CA,34.6052,-118.1833,661,17791,79,1028,23,,54808,28860,5544,337,4312,22848,196,9328,6231,98181,36789,565000,37.0,36.5,37.7,2594,3262,9619,11218,3658,6459
695,93551,LEONA VALLEY,LOS ANGELES,CA,34.6052,-118.1833,661,17791,79,1028,23,,54808,28860,5544,337,4312,22848,196,9328,6231,98181,36789,565000,37.0,36.5,37.7,2594,3262,9619,11218,3658,6459
696,93551,PALMDALE,LOS ANGELES,CA,34.6052,-118.1833,661,17791,79,1028,23,L,54808,28860,5544,337,4312,22848,196,9328,6231,98181,36789,565000,37.0,36.5,37.7,2594,3262,9619,11218,3658,6459
697,93551,QUARTZ HILL,LOS ANGELES,CA,34.6052,-118.1833,661,17791,79,1028,23,,54808,28860,5544,337,4312,22848,196,9328,6231,98181,36789,565000,37.0,36.5,37.7,2594,3262,9619,11218,3658,6459
698,93552,PALMDALE,LOS ANGELES,CA,34.5631,-118.0357,661,10964,0,153,0,L,43118,19035,5250,573,1088,29762,13,13101,4058,73074,22332,489000,32.5,29.4,35.5,3352,3500,10010,7677,1803,2984
699,93553,JUNIPER HILLS,LOS ANGELES,CA,34.4966,-117.8962,661,355,421,9,31,,1056,847,5,0,10,176,0,115,79,59805,39151,371000,62.1,63.2,59.4,27,94,262,174,88,311
700,93553,PEARBLOSSOM,LOS ANGELES,CA,34.4966,-117.8962,661,355,421,9,31,L,1056,847,5,0,10,176,0,115,79,59805,39151,371000,62.1,63.2,59.4,27,94,262,174,88,311
701,93563,PEARBLOSSOM,LOS ANGELES,CA,34.3171,-117.8582,661,4,47,1,9,,247,143,50,4,4,61,0,9,37,210600,26648,462000,31.1,34.5,3.6,2,36,41,48,0,42
702,93563,VALYERMO,LOS ANGELES,CA,34.3171,-117.8582,661,4,47,1,9,L,247,143,50,4,4,61,0,9,37,210600,26648,462000,31.1,34.5,3.6,2,36,41,48,0,42
703,93591,LAKE LOS ANGELES,LOS ANGELES,CA,34.5976,-117.8398,661,2121,0,53,0,,6914,3495,402,15,189,4734,0,1779,1034,53733,21006,369000,32.1,38.4,28.5,627,714,1682,1211,285,179
704,93591,PALMDALE,LOS ANGELES,CA,34.5976,-117.8398,661,2121,0,53,0,L,6914,3495,402,15,189,4734,0,1779,1034,53733,21006,369000,32.1,38.4,28.5,627,714,1682,1211,285,179
