RecordID,ZipCode,City,County,State,Latitude,Longitude,DominantAreaCode,ResidentialDeliveries,ResidentialPOBoxes,BusinessDeliveries,BusinessPOBoxes,LastLineIndicator,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,MedianHouseholdIncome,PerCapitaIncome,MedianHomeValue,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree
530,91791,WEST COVINA,LOS ANGELES,CA,34.0635,-117.8969,626,11146,221,536,82,L,34411,10250,1377,371,10012,17062,27,8530,3844,89794,36523,872000,42.1,38.2,45.8,1937,1578,6726,6180,2158,6269
531,91792,WEST COVINA,LOS ANGELES,CA,34.0219,-117.8996,626,9471,0,316,0,L,31649,6177,2443,201,13876,13212,72,6481,2399,88610,31960,789000,39.9,37.0,42.0,1804,1265,5914,5282,2880,6315
532,91801,ALHAMBRA,LOS ANGELES,CA,34.0921,-118.1295,626,21119,0,1392,0,L,53976,10557,1252,452,28434,17684,244,9345,3692,73060,36653,909000,40.9,39.3,42.4,3666,2992,9683,8116,3607,11310
533,91803,ALHAMBRA,LOS ANGELES,CA,34.0759,-118.1439,626,10371,325,988,72,L,29223,5925,558,103,13745,12018,103,6249,2540,72773,31885,923000,42.0,40.2,43.7,2526,1962,4639,4930,1791,5377
534,92602,IRVINE,ORANGE,CA,33.7261,-117.7757,949,11507,960,260,1032,L,27425,10250,88,0,12146,5592,77,855,4009,123455,51047,1815000,34.8,35.0,34.5,376,46,1468,3737,1529,5973
535,92603,IRVINE,ORANGE,CA,33.6387,-117.8040,949,7829,0,66,0,L,19128,10437,108,72,7195,1843,0,12,1304,175012,79517,2164000,40.4,41.5,39.7,97,248,918,1857,776,6229
536,92604,IRVINE,ORANGE,CA,33.6879,-117.7893,949,9932,0,612,0,L,29983,15608,415,113,10726,3660,193,1041,1887,114575,48276,1271000,41.6,38.7,44.1,513,577,2657,4500,1226,8390
537,92606,IRVINE,ORANGE,CA,33.6963,-117.8147,949,8827,0,858,0,L,25126,9271,476,7,11695,2169,109,476,3092,124586,53694,1350500,34.0,33.7,35.2,351,536,2138,3238,1254,7267
538,92610,EL TORO,ORANGE,CA,33.6827,-117.6633,949,4636,0,345,0,,12524,6874,51,55,4100,1472,42,173,1229,155101,59787,1152000,39.6,39.4,39.9,34,301,1225,1532,783,3713
539,92610,FOOTHILL RANCH,ORANGE,CA,33.6827,-117.6633,949,4636,0,345,0,L,12524,6874,51,55,4100,1472,42,173,1229,155101,59787,1152000,39.6,39.4,39.9,34,301,1225,1532,783,3713
